feature,val
รวมรายได้ (TTM),"160,650.53 ล."
รวมรายจ่าย (TTM),"119,082.76 ล."
ผลตอบแทนต่อหุ้น (EPS),2.703
ผลตอบแทนต่อหุ้น ปรับลด (Diluted EPS),2.703
กำไรสุทธิ (TTM),"30,433.68 ล."
รวมทรัพย์สิน (TTM),"286,785.13 ล."
รวมหนี้สิน (TTM),"238,749.37 ล."
