feature,val
มูลค่าตามราคาตลาด,"111,287.12 ล."
P/E,99.83
P/BV,4.15
D/E,2.7276
อัตราปันผล,0.51%
อัตราผลตอบแทน,3.68%
ผลตอบแทนเทียบกับสินทรัพย์ (ROA),2.81%
ผลตอบแทนเทียบเฉพาะส่วนผู้ถือหุ้น (ROE),10.98%
อัตราส่วนผลตอบแทนต่อเงินทุน (ROC),1.71%
อัตราส่วนทุนหมุนเวียน,1.2311
อัตราการหมุนเวียนลูกหนี้การค้า,41.8995
อัตราการหมุนเวียนสินค้า,40.4873
อัตราการหมุนเวียนเจ้าหนี้การค้า,178.688
เกณฑ์พึงรับพึงจ่าย (Accruals),"-5,113.34 ล."
