feature,val
รวมรายได้ (TTM),"78,231.94 ล."
รวมรายจ่าย (TTM),"73,617.31 ล."
ผลตอบแทนต่อหุ้น (EPS),0.555
ผลตอบแทนต่อหุ้น ปรับลด (Diluted EPS),-
กำไรสุทธิ (TTM),"3,200.51 ล."
รวมทรัพย์สิน (TTM),"113,877.44 ล."
รวมหนี้สิน (TTM),"83,327.96 ล."
