feature,val
รวมรายได้ (TTM),"145,977.25 ล."
รวมรายจ่าย (TTM),"134,330.83 ล."
ผลตอบแทนต่อหุ้น (EPS),-0.01
ผลตอบแทนต่อหุ้น ปรับลด (Diluted EPS),-0.14
กำไรสุทธิ (TTM),"3,052.46 ล."
รวมทรัพย์สิน (TTM),"463,218.23 ล."
รวมหนี้สิน (TTM),"329,413.33 ล."
