feature,val
มูลค่าตามราคาตลาด,"539,616.80 ล."
P/E,17.67
P/BV,10.65
D/E,4.9702
อัตราปันผล,3.90%
อัตราผลตอบแทน,5.53%
ผลตอบแทนเทียบกับสินทรัพย์ (ROA),10.61%
ผลตอบแทนเทียบเฉพาะส่วนผู้ถือหุ้น (ROE),65.73%
อัตราส่วนผลตอบแทนต่อเงินทุน (ROC),5.17%
อัตราส่วนทุนหมุนเวียน,0.4596
อัตราการหมุนเวียนลูกหนี้การค้า,40.6781
อัตราการหมุนเวียนสินค้า,59.741
อัตราการหมุนเวียนเจ้าหนี้การค้า,129.5037
เกณฑ์พึงรับพึงจ่าย (Accruals),"-9,686.09 ล."
